Country,CountName,Region_coarse,Region,Climate,Koppen,Koppen2,Ara,For,Mea,Oth
HRV,Croatia,Europe,S Europe,temperate,temperate,temperate,16.028,34.605,10.846,36.352
CUB,Cuba,Caribbean,Caribbean,tropical,tropical,tropical,35.285,31.233,26.382,7.1
CYP,Cyprus,Europe,S Europe,temperate,temperate,dry,13.38,18.674,0.169,67.745
CZE,Czech Republic,Europe,E Europe,temperate,temperate,dry,32.793,34.651,12.847,19.709
COD,Democratic Republic of the Congo,Africa,C Africa,tropical,tropical,tropical,5.867,56.133,8.028,29.972
DNK,Denmark,Europe,N Europe,temperate,temperate,temperate,60.483,15.688,5.175,18.653
DJI,Djibouti,Africa,E Africa,desert,dry,dry,0.086,0.246,73.339,26.329
DMA,Dominica,Caribbean,Caribbean,tropical,tropical,tropical,30.667,63.827,2.667,2.84
DOM,Dominican Republic,Caribbean,Caribbean,tropical,tropical,tropical,25.502,44.215,24.777,5.506
ECU,Ecuador,S America,S America,tropical,tropical,temperate,9.78,50.58,11.681,27.959
EGY,Egypt,Africa,N Africa,desert,dry,dry,3.854,0.045,0.01,96.101
SLV,El Salvador,C America,C America,tropical,tropical,tropical,42.519,28.397,15.188,13.896
GNQ,Equatorial Guinea,Africa,C Africa,tropical,tropical,tropical,6.417,87.586,3.708,2.289
ERI,Eritrea,Africa,E Africa,hot,dry,dry,5.711,8.734,56.941,28.614
EST,Estonia,Europe,N Europe,maritime,continental,continental,16.029,56.094,6.71,21.169
SWZ,Eswatini,Africa,S Africa,maritime,temperate,temperate,11.047,28.858,60,0.096
ETH,Ethiopia,Africa,E Africa,tropical,tropical,dry,15.864,15.189,17.722,51.226
FRO,Faeroe Islands,Europe,N Europe,tropical,tropical,dry,2.149,0.057,0.01,97.794
FLK,Falkland Islands,S America,S America,tropical,tropical,polar,0.01,0.01,92.827,7.173
FJI,Fiji,Oceania,Oceania,tropical,tropical,tropical,13.684,62.033,9.579,14.705
FIN,Finland,Europe,N Europe,temperate,temperate,continental,7.403,73.731,0.079,18.787
FRA,France,Europe,W Europe,temperate,temperate,temperate,34.837,31.357,17.433,16.373
PYF,French Polynesia,Oceania,Oceania,tropical,tropical,tropical,7.347,43.06,5.762,43.832
GAB,Gabon,Africa,C Africa,tropical,tropical,tropical,1.921,91.367,6.666,0.046
GMB,Gambia,Africa,W Africa,tropical,tropical,tropical,43.972,24.545,15.81,15.672
GEO,Georgia,W Asia,W Asia,warm,temperate,temperate,6.156,40.616,27.918,25.31
DEU,Germany,Europe,W Europe,temperate,temperate,temperate,34.097,32.683,13.598,14.909
GHA,Ghana,Africa,W Africa,tropical,tropical,tropical,22.945,35.064,32.446,9.545
GIB,Gibraltar,Europe,S Europe,temperate,temperate,temperate,0.01,0.01,0.01,100
GRC,Greece,Europe,S Europe,temperate,temperate,temperate,24.993,30.27,22.358,22.332
GRL,Greenland,Europe,N Europe,polar,polar,polar,0.01,0.001,0.592,99.407
GRD,Grenada,Caribbean,Caribbean,tropical,tropical,tropical,20.588,52.059,2.941,24.412
GLP,Guadeloupe,Caribbean,Caribbean,tropical,tropical,tropical,15.525,44.432,15.16,24.883
GUM,Guam,Micronesia,Micronesia,tropical,tropical,tropical,14.815,51.852,14.815,18.519
GTM,Guatemala,C America,C America,tropical,tropical,tropical,19.084,33.029,16.9,30.987
GIN,Guinea,Africa,W Africa,generally,tropical,tropical,15.465,25.35,43.546,15.64
GNB,Guinea-Bissau,Africa,W Africa,tropical,tropical,tropical,19.559,70.713,9.428,0.3
GUY,Guyana,S America,S America,tropical,tropical,tropical,2.337,93.597,3.969,0.098
HTI,Haiti,Caribbean,Caribbean,tropical,tropical,tropical,48.984,12.714,17.779,20.522
VAT,Holy See,Europe,S Europe,temperate,temperate,tropical,0.01,0.01,0.01,100
HND,Honduras,C America,C America,subtropical,temperate,tropical,14.264,57.022,17.115,11.599
HUN,Hungary,Europe,E Europe,temperate,temperate,temperate,49.178,22.512,8.657,17.264
ISL,Iceland,Europe,N Europe,temperate,temperate,polar,1.2,0.503,17.366,80.931
IND,India,Asia,S Asia,varies,varies,tropical,56.948,24.181,3.451,15.42
IDN,Indonesia,SE Asia,SE Asia,tropical,tropical,tropical,27.323,49.394,5.859,17.424
IRN,Iran,Asia,S Asia,mostly,dry,dry,10.766,6.596,18.098,64.54
IRQ,Iraq,Middle East,W Asia,desert,dry,dry,12.093,1.9,9.214,76.793
IRL,Ireland,Europe,N Europe,temperate,temperate,temperate,6.445,11.294,59.225,23.036
ISR,Israel,Middle East,W Asia,temperate,temperate,dry,22.107,6.47,7.394,64.03
ITA,Italy,Europe,S Europe,temperate,temperate,temperate,31.547,32.167,12.823,23.365
JAM,Jamaica,Caribbean,Caribbean,tropical,tropical,tropical,19.852,54.755,21.145,4.247
JPN,Japan,Asia,E Asia,varies,varies,continental,12.063,68.409,0.01,19.528
JOR,Jordan,Middle East,W Asia,desert,dry,temperate,3.247,1.098,8.356,87.299
KAZ,Kazakhstan,W Asia,C Asia,continental,continental,dry,11.108,1.269,68.328,19.295
KEN,Kenya,Africa,E Africa,varies,varies,tropical,11.122,6.345,37.425,45.108
KIR,Kiribati,Micronesia,Micronesia,tropical,tropical,tropical,41.975,1.457,0.01,56.568
KWT,Kuwait,Middle East,W Asia,dry,dry,dry,0.786,0.351,7.632,91.232
KGZ,Kyrgyzstan,W Asia,C Asia,dry,dry,continental,7.112,6.763,46.947,39.179
LAO,Laos,SE Asia,SE Asia,tropical,tropical,temperate,7.448,72.054,2.925,17.574
LVA,Latvia,Europe,N Europe,maritime,temperate,continental,21.341,54.75,10.156,13.753
LBN,Lebanon,Middle East,W Asia,temperate,temperate,temperate,25.22,13.952,39.101,21.727
LSO,Lesotho,Africa,S Africa,temperate,temperate,temperate,4.677,1.137,65.876,28.31
LBR,Liberia,Africa,W Africa,tropical,tropical,tropical,7.267,79.399,13.02,0.314
LBY,Libya,Africa,N Africa,temperate,temperate,dry,1.165,0.123,7.559,91.153
LIE,Liechtenstein,Europe,W Europe,continental,continental,temperate,9.25,41.875,23.688,25.188
LTU,Lithuania,Europe,N Europe,transitional,continental,continental,35.883,35.133,11.626,17.359
LUX,Luxembourg,Europe,W Europe,modified,continental,temperate,24.671,34.454,26.368,13.771
MDG,Madagascar,Africa,E Africa,tropical,tropical,temperate,6.188,21.387,64.103,8.322
MWI,Malawi,Africa,S Africa,sub-tropical,dry,tropical,40.305,24.223,19.622,15.85
MYS,Malaysia,SE Asia,SE Asia,tropical,tropical,tropical,25.22,58.33,0.867,15.583
MDV,Maldives,Asia,S Asia,tropical,tropical,tropical,18,2.733,3.333,75.933
MLI,Mali,Africa,W Africa,subtropical,dry,dry,5.377,10.897,28.389,55.337
MLT,Malta,Europe,S Europe,temperate,temperate,temperate,32.438,1.438,0.01,66.125
MHL,Marshall Islands,Oceania,Oceania,tropical,tropical,tropical,47.222,52.222,0.556,0.01
MTQ,Martinique,Caribbean,Caribbean,tropical,tropical,tropical,14.717,49.142,14.811,21.33
MRT,Mauritania,Africa,N Africa,desert,dry,dry,0.399,0.309,38.081,61.212
MUS,Mauritius,Africa,E Africa,tropical,tropical,tropical,38.916,19.079,3.448,38.557
MYT,Mayotte,Africa,E Africa, tropical,tropical,tropical,53.422,37.273,0.053,9.251
MEX,Mexico,C America,C America,varies,varies,dry,11.384,33.859,38.055,16.695
FSM,Micronesia,Micronesia,Micronesia,varies,varies,dry,27.143,91.986,4.286,0.01
MDA,Moldova,Europe,E Europe,temperate,temperate,continental,58.435,11.753,10.336,18.859
MCO,Monaco,Europe,W Europe,temperate,temperate,temperate,0.01,0.01,0.01,100
MNG,Mongolia,Asia,E Asia,desert,dry,dry,0.857,9.102,71.947,18.028
MSR,Montserrat,Caribbean,Caribbean,tropical,tropical,tropical,20,25,10,45
MAR,Morocco,Africa,N Africa,temperate,temperate,dry,19.296,12.844,47.054,20.61
MOZ,Mozambique,Africa,S Africa,tropical,tropical,tropical,7.566,47.008,45.098,0.328
MMR,Myanmar,SE Asia,SE Asia,tropical,tropical,tropical,19.152,44.176,0.457,36.216
PRK,N Korea,Asia,E Asia,tropical,tropical,tropical,21.427,50.256,0.415,27.902
NAM,Namibia,Africa,S Africa,desert,dry,dry,0.984,8.15,46.156,44.71
NRU,Nauru,Micronesia,Micronesia,tropical,tropical,tropical,20,0.01,0.01,80
NPL,Nepal,Asia,S Asia,varies,temperate,temperate,16.224,41.591,12.524,29.661
NLD,Netherlands,Europe,W Europe,temperate,temperate,temperate,31.149,10.947,22.81,35.094
NCL,New Caledonia,Oceania,Oceania,tropical,tropical,temperate,0.531,45.849,9.537,44.084
NZL,New Zealand,Oceania,Oceania,temperate,temperate,temperate,2.355,37.467,36.934,23.244
NIC,Nicaragua,C America,C America,tropical,tropical,tropical,14.875,29.147,27.215,28.764
NER,Niger,Africa,W Africa,desert,dry,dry,14.066,0.862,22.722,62.349
NGA,Nigeria,Africa,W Africa,varies,varies,tropical,44.468,23.925,31.428,0.179
NIU,Niue,Oceania,Oceania,tropical,tropical,tropical,15.385,72.538,3.846,8.231
NFK,Norfolk Island,Oceania,Oceania,subtropical,tropical,temperate,0.01,12.25,25,62.75
MKD,North Macedonia,Europe,S Europe,temperate,temperate,temperate,18.239,39.71,31.919,10.131
MNP,Northern Mariana Islands,Micronesia,Micronesia,tropical,tropical,tropical,0.37,52.957,0.804,45.87
NOR,Norway,Europe,N Europe,temperate,temperate,continental,2.199,33.34,0.49,63.971
OMN,Oman,Middle East,W Asia,dry,dry,dry,0.357,0.008,4.365,95.27
PAK,Pakistan,W Asia,W Asia,desert,dry,dry,40.603,4.887,6.486,48.024
PLW,Palau,Micronesia,Micronesia,tropical,tropical,tropical,5,89.848,4.348,0.804
PAN,Panama,C America,C America,tropical,tropical,tropical,10.111,56.959,20.342,12.588
PNG,Papua New Guinea,Oceania,Oceania,tropical,tropical,tropical,2.208,79.25,0.42,18.122
PRY,Paraguay,S America,S America,subtropical,temperate,tropical,12.142,41.232,42.789,3.837
PER,Peru,S America,S America,varies,varies,tropical,4.436,56.643,14.688,24.233
PHL,Philippines,SE Asia,SE Asia,tropical,tropical,tropical,36.69,23.992,5.031,34.287
PCN,Pitcairn,Oceania,Oceania,tropical,tropical,tropical,0.01,74.468,0.01,25.532
POL,Poland,Europe,E Europe,temperate,temperate,temperate,37.225,30.94,10.219,21.074
PRT,Portugal,Europe,S Europe,temperate,temperate,temperate,18.538,36.155,20.477,24.64
PRI,Puerto Rico,Caribbean,Caribbean,tropical,tropical,tropical,7.351,55.901,11.578,25.17
QAT,Qatar,Middle East,W Asia,arid,dry,dry,1.48,0.01,4.352,94.169
ROU,Romania,Europe,E Europe,temperate,temperate,continental,40.76,30.116,19.332,9.792
RUS,Russia,W Asia,W Asia,varies,varies,continental,7.538,49.784,5.621,37.057
RWA,Rwanda,Africa,E Africa,temperate,temperate,temperate,56.818,11.147,16.619,15.415
KOR,S Korea,Asia,E Asia,temperate,temperate,temperate,16.199,64.518,0.574,18.709
KNA,Saint Kitts and Nevis,Caribbean,Caribbean,tropical,tropical,tropical,19.615,42.308,3.462,34.615
LCA,Saint Lucia,Caribbean,Caribbean,tropical,tropical,tropical,16.393,34.049,0.984,48.574
SPM,Saint Pierre and Miquelon,N America,N America,polar,polar,continental,8.696,5.391,0.01,85.913
VCT,Saint Vincent and the Grenadines,Caribbean,Caribbean,tropical,tropical,tropical,12.821,73.18,5.128,8.872
WSM,Samoa,Oceania,Oceania,tropical,tropical,tropical,22.473,57.297,4.276,15.954
SMR,San Marino,Europe,S Europe,temperate,temperate,temperate,38.333,16.667,0.01,45
STP,Sao Tome and Principe,Africa,C Africa,tropical,tropical,tropical,44.792,54.708,1.042,0.01
SAU,Saudi Arabia,Middle East,W Asia,desert,dry,dry,1.674,0.454,79.081,18.791
SEN,Senegal,Africa,W Africa,tropical,tropical,dry,17.026,42.114,29.086,11.774
SYC,Seychelles,Africa,E Africa,tropical,tropical,tropical,3.37,73.261,0.01,23.37
SLE,Sierra Leone,Africa,W Africa,tropical,tropical,tropical,24.231,35.392,30.479,9.897
SGP,Singapore,SE Asia,SE Asia,tropical,tropical,tropical,0.922,21.997,0.01,77.081
SVK,Slovak Republic,Europe,E Europe,tropical,tropical,tropical,28.432,40.056,10.774,19.574
SVN,Slovenia,Europe,S Europe,temperate,temperate,temperate,11.644,61.573,18.763,7.812
SLB,Solomon Islands,Oceania,Oceania,tropical,tropical,tropical,3.894,90.164,0.286,5.656
SOM,Somalia,Africa,E Africa,desert,dry,dry,1.793,9.655,68.543,20.009
ZAF,South Africa,Africa,S Africa,mostly,dry,dry,10.233,14.085,69.185,6.497
ESP,Spain,Europe,S Europe,temperate,temperate,temperate,33.548,37.168,18.91,10.374
LKA,Sri Lanka,Asia,S Asia,tropical,tropical,tropical,38.335,34.207,7.112,20.075
SDN,Sudan,Africa,E Africa,hot,dry,dry,10.811,10.021,26.062,53.106
SUR,Suriname,S America,S America,tropical,tropical,tropical,0.436,97.491,0.103,1.971
SWE,Sweden,Europe,N Europe,temperate,temperate,continental,6.245,68.699,1.133,23.923
CHE,Switzerland,Europe,W Europe,temperate,temperate,continental,10.725,32.029,27.415,29.153
SYR,Syrian Arab Republic,Middle East,W Asia,desert,dry,dry,31.22,2.843,44.59,21.347
TJK,Tajikistan,W Asia,C Asia,continental,continental,continental,6.144,3.046,27.92,62.89
TZA,Tanzania,Africa,E Africa,varies,varies,dry,17.668,52.172,27.094,3.066
THA,Thailand,SE Asia,SE Asia,tropical,tropical,tropical,41.712,38.969,1.566,17.753
TLS,Timor-Leste,SE Asia,SE Asia,tropical,tropical,tropical,15.467,62.038,10.087,12.408
TGO,Togo,Africa,W Africa,tropical,tropical,temperate,51.848,22.288,18.386,7.479
TKL,Tokelau,Oceania,Oceania,tropical,tropical,tropical,60,0.01,0.01,40
TON,Tonga,Oceania,Oceania,tropical,tropical,tropical,43.056,12.431,5.556,38.958
TTO,Trinidad and Tobago,Caribbean,Caribbean,tropical,tropical,tropical,9.162,44.563,1.365,44.91
TUN,Tunisia,Africa,N Africa,temperate,temperate,dry,32.138,4.513,30.574,32.774
TUR,Turkey,W Asia,W Asia,temperate,temperate,temperate,30.013,28.669,18.992,22.326
TKM,Turkmenistan,W Asia,C Asia,desert,dry,dry,4.256,8.782,67.751,19.211
TCA,Turks and Caicos Islands,Caribbean,Caribbean,tropical,tropical,tropical,1.053,11.074,0.01,87.874
TUV,Tuvalu,Oceania,Oceania,tropical,tropical,tropical,60,33.333,0.01,6.667
UGA,Uganda,Africa,E Africa,tropical,tropical,tropical,45.382,11.865,26.506,16.247
UKR,Ukraine,Europe,E Europe,temperate,temperate,continental,58.297,16.714,13.003,10.984
ARE,United Arab Emirates,Middle East,W Asia,desert,dry,dry,1.273,4.468,4.224,90.024
GBR,United Kingdom,Europe,N Europe,temperate,temperate,temperate,25.344,13.153,47.079,13.207
USA,United States,N America,N America,varies,varies,temperate,17.539,33.867,26.824,21.77
VIR,United States Virgin Islands,Caribbean,Caribbean,mostly,temperate,tropical,3.143,56.457,6.286,34.114
URY,Uruguay,S America,S America,warm,temperate,temperate,11.696,11.484,68.564,8.256
UZB,Uzbekistan,W Asia,C Asia,desert,dry,dry,10.072,8.316,47.935,33.677
VUT,Vanuatu,Oceania,Oceania,tropical,tropical,tropical,11.895,36.284,3.445,48.376
VEN,Venezuela,S America,S America,tropical,tropical,tropical,3.741,52.46,20.634,23.165
VNM,Viet Nam,SE Asia,SE Asia,tropical,tropical,tropical,37.476,46.477,2.048,13.999
WLF,Wallis and Futuna,Oceania,Oceania,tropical,tropical,tropical,42.857,41.643,0.01,15.5
YEM,Yemen,Middle East,W Asia,desert,dry,dry,2.75,1.04,41.669,54.541
ZMB,Zambia,Africa,S Africa,tropical,tropical,temperate,5.16,60.537,26.904,7.4
ZWE,Zimbabwe,Africa,S Africa,tropical,tropical,dry,10.598,45.213,31.278,12.91
